seed,iter,lambda,rho,accepted,r_norm,p_norm,t_minus1,t_plus1,R_plus_T,total_complex_l2,scattered_complex_l2,pde_grat,top_DtN,bottom_DtN,total_loss,param_norm,cond_number
42,1,0.18504437133266163,0.9818476154023325,True,0.27177224409785344,0.029433433117261244,0.005758672722100131,0.005450643737724263,1.0042814854187005,0.056557861145081344,1.2009783527527709,0.0001401615957240157,3.6708697580588155e-06,2.4535532956899494e-05,0.0006610452103059878,2.51119937689349,285777.65750378516
42,50,3.119101831187581,0.5242765703812962,True,0.2663689085119333,0.0018031872968358482,0.005564949397783708,0.005170232784012562,1.0036763344916702,0.14016180191249977,2.976266898564876,0.00013341512335489282,4.812656700764374e-06,2.146948226553445e-05,0.0006392326610093575,2.531228394485543,50863.10528742464
42,100,199.6225171960052,0.2804320215896161,True,0.26601966717434455,0.00013022825388965068,0.005550515402160656,0.005154340903622198,1.0036620833220558,0.14804189794776976,3.143596860560711,0.00013269094994680032,4.778886893060777e-06,2.0713588876256494e-05,0.0006406161256075042,2.5312918068747443,842.2982298195312
42,150,798.4900687840208,0.2999399648466268,True,0.26595222310269345,3.50459132356498e-05,0.005545882689725614,0.00514728159513514,1.0036530932768342,0.15002649453293818,3.185738792548209,0.00013272514917333982,4.778783852037837e-06,2.0643647624016957e-05,0.0006390404025429151,2.5313033975794066,206.4633199091871
42,200,798.4900687840208,0.29464032579548655,True,0.26589194984106734,3.537087838053914e-05,0.005544107097549849,0.005142631637224614,1.00364416897269,0.1519256827360623,3.226067119567235,0.00013269468414813865,4.778332640691219e-06,2.0629810030336964e-05,0.0006384007282959911,2.5313149512500903,205.22468307710395
42,250,798.4900687840208,0.29062473679669387,True,0.2658313375481361,3.567607411189263e-05,0.005542462488481865,0.005138255685163545,1.0036353299297838,0.15385438059680132,3.2670220696458157,0.0001326652278872434,4.778110907371717e-06,2.061538798444897e-05,0.0006377499157913762,2.531326526113185,204.11335525416402
42,300,798.4900687840208,0.2871349401474678,True,0.265770236676114,3.5995330129550246e-05,0.005540931275703618,0.005134123183932493,1.0036265522377268,0.15581306971446038,3.3086138693082314,0.00013263655625461563,4.778115786665442e-06,2.060038796088665e-05,0.0006370879636367969,2.531338083829482,203.05317396235583
42,350,798.4900687840208,0.28415748099678273,True,0.2657085287762888,3.632004975094505e-05,0.005539495974423114,0.005130205113127467,1.0036177992850548,0.15780221956534693,3.3508524876528702,0.0001326085056449205,4.77833190591083e-06,2.0584844029722583e-05,0.0006364146221679002,2.5313496008954415,202.04952041262376
42,400,798.4900687840208,0.2816921079321995,True,0.26564611718253905,3.664347690355694e-05,0.005538142703604482,0.0051264756853338775,1.0036090409182445,0.15982230346430937,3.393747975287648,0.0001325809404995213,4.77874430312192e-06,2.0568782894836437e-05,0.0006357296492568237,2.531361064235916,201.10753067698312
42,450,798.4900687840208,0.27974751922014107,True,0.26558291947853013,3.696021227536289e-05,0.005536860609998421,0.005122912139137598,1.0036002530970871,0.16187379865521745,3.4373104662513163,0.00013255374577299933,4.7793392735083136e-06,2.0552224349210364e-05,0.0006350327863140546,2.5313724670987914,200.23203792231365
42,500,798.4900687840208,0.2783381034904359,True,0.26551886217222165,3.7265890056470234e-05,0.00553564144070534,0.005119494360675054,1.003591416564043,0.16395718567652925,3.481550164541589,0.00013252682138829,4.7801043125803105e-06,2.0535182198390377e-05,0.000634323743487038,2.53138380602515,199.42750018475581
